Customer_ID,Age,Gender,Item_Purchased,Category,Purchase_Amount_USD,Location,Size,Color,Season,Review_Rating,Subscription_Status,Payment_Method,Shipping_Type,Discount_Applied,Promo_Code_Used,Previous_Purchases,Preferred_Payment_Method,Frequency_of_Purchases,Review_Rating_Categories
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.699999809265137,Yes,PayPal,Store Pickup,Yes,Yes,46,Credit Card,Weekly,Very_Good
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.400000095367432,Yes,PayPal,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,Good
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.199999809265137,Yes,Credit Card,Free Shipping,Yes,Yes,29,Venmo,Monthly,Good
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.599999904632568,Yes,Debit Card,Standard,Yes,Yes,4,Debit Card,Weekly,Very_Good
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Credit Card,Express,Yes,Yes,17,Cash,Weekly,Good
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.699999809265137,Yes,Bank Transfer,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,Very_Good
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.799999952316284,Yes,Credit Card,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,Good
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.700000047683716,Yes,Credit Card,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,Bad
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.800000190734863,Yes,PayPal,Standard,Yes,Yes,18,Debit Card,Fortnightly,Very_Good
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.800000190734863,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,Very_Good
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.699999809265137,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,Very_Good
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.400000095367432,Yes,PayPal,Store Pickup,Yes,Yes,49,Debit Card,Monthly,Good
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9000000953674316,Yes,Credit Card,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,Good
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.400000095367432,Yes,Credit Card,Express,Yes,Yes,5,Cash,Weekly,Good
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.199999809265137,Yes,Credit Card,Express,Yes,Yes,32,Debit Card,Every 3 Months,Good
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9000000953674316,Yes,Debit Card,Express,Yes,Yes,34,Bank Transfer,Annually,Bad
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9000000953674316,Yes,Debit Card,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,Bad
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.700000047683716,Yes,Debit Card,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,Bad
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,PayPal,Express,Yes,Yes,3,Cash,Monthly,Very_Good
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.700000047683716,Yes,Debit Card,Free Shipping,Yes,Yes,21,Credit Card,Annually,Bad
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.199999809265137,Yes,Bank Transfer,Free Shipping,Yes,Yes,32,Venmo,Monthly,Good
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.299999952316284,Yes,Debit Card,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,Good
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.699999809265137,Yes,Venmo,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,Very_Good
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.5999999046325684,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,Bad
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.299999952316284,Yes,Credit Card,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,Good
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.5999999046325684,Yes,PayPal,Express,Yes,Yes,36,Credit Card,Every 3 Months,Bad
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,Good
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.099999904632568,Yes,Debit Card,Standard,Yes,Yes,34,Bank Transfer,Weekly,Good
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.400000095367432,Yes,Cash,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,Good
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Credit Card,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,Very_Good
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.700000047683716,Yes,Venmo,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,Good
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.700000047683716,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,Good
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Credit Card,Free Shipping,Yes,Yes,35,Credit Card,Monthly,Good
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.5999999046325684,Yes,Bank Transfer,Next Day Air,Yes,Yes,15,Cash,Quarterly,Good
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9000000953674316,Yes,Venmo,Express,Yes,Yes,29,Credit Card,Monthly,Bad
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.599999904632568,Yes,PayPal,Standard,Yes,Yes,18,Credit Card,Every 3 Months,Very_Good
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.400000095367432,Yes,Cash,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,Good
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Weekly,Very_Good
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.599999904632568,Yes,Bank Transfer,Free Shipping,Yes,Yes,28,Credit Card,Weekly,Very_Good
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.799999952316284,Yes,PayPal,Free Shipping,Yes,Yes,48,PayPal,Monthly,Good
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.5999999046325684,Yes,Venmo,Express,Yes,Yes,43,Venmo,Every 3 Months,Good
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.800000190734863,Yes,PayPal,Store Pickup,Yes,Yes,37,Cash,Annually,Very_Good
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.5999999046325684,Yes,Cash,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,Bad
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.700000047683716,Yes,Cash,Express,Yes,Yes,33,Debit Card,Quarterly,Good
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.700000047683716,Yes,PayPal,Express,Yes,Yes,31,Cash,Fortnightly,Bad
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.599999904632568,Yes,Venmo,Express,Yes,Yes,50,Credit Card,Bi-Weekly,Very_Good
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.800000190734863,Yes,Credit Card,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,Very_Good
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Debit Card,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,Good
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.400000095367432,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,Good
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.5999999046325684,Yes,Bank Transfer,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,Good
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.700000047683716,Yes,Cash,Standard,Yes,Yes,31,Credit Card,Monthly,Good
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.0999999046325684,Yes,Cash,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,Bad
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4000000953674316,Yes,Bank Transfer,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,Good
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.5999999046325684,Yes,Cash,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,Bad
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Bank Transfer,Standard,Yes,Yes,26,Venmo,Fortnightly,Good
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,PayPal,Free Shipping,Yes,Yes,9,Credit Card,Annually,Very_Good
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.300000190734863,Yes,Credit Card,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,Good
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.0999999046325684,Yes,Debit Card,Next Day Air,Yes,Yes,20,PayPal,Quarterly,Bad
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.700000047683716,Yes,Venmo,Store Pickup,Yes,Yes,9,Cash,Weekly,Good
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.799999952316284,Yes,Cash,Standard,Yes,Yes,48,Debit Card,Every 3 Months,Good
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4000000953674316,Yes,PayPal,Free Shipping,Yes,Yes,12,Venmo,Annually,Good
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.599999904632568,Yes,Bank Transfer,Express,Yes,Yes,29,Cash,Fortnightly,Very_Good
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.800000190734863,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,Very_Good
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.300000190734863,Yes,Debit Card,Express,Yes,Yes,44,Cash,Annually,Good
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,Yes,PayPal,Express,Yes,Yes,32,Bank Transfer,Annually,Good
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.199999809265137,Yes,Cash,Standard,Yes,Yes,11,Cash,Fortnightly,Good
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.800000190734863,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly,Very_Good
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.0999999046325684,Yes,Debit Card,Free Shipping,Yes,Yes,46,Cash,Weekly,Bad
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.0999999046325684,Yes,PayPal,Next Day Air,Yes,Yes,50,PayPal,Annually,Bad
126,49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.5999999046325684,Yes,Cash,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months,Good
127,43,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9000000953674316,Yes,Bank Transfer,Store Pickup,Yes,Yes,48,Cash,Every 3 Months,Good
128,24,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.800000190734863,Yes,Venmo,Next Day Air,Yes,Yes,26,Credit Card,Weekly,Very_Good
129,20,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.699999809265137,Yes,Venmo,Standard,Yes,Yes,21,Credit Card,Fortnightly,Very_Good
130,24,Male,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.199999809265137,Yes,Cash,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly,Good
131,44,Male,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.700000047683716,Yes,Credit Card,Next Day Air,Yes,Yes,13,PayPal,Fortnightly,Good
132,28,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9000000953674316,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Weekly,Good
133,30,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.699999809265137,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,42,PayPal,Weekly,Very_Good
135,43,Male,Hat,Accessories,94,Texas,L,Gray,Fall,4.900000095367432,Yes,Credit Card,Store Pickup,Yes,Yes,25,Cash,Monthly,Very_Good
136,43,Male,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.099999904632568,Yes,PayPal,Express,Yes,Yes,12,PayPal,Quarterly,Good
137,39,Male,Blouse,Clothing,86,South Carolina,M,White,Winter,3.299999952316284,Yes,Credit Card,Free Shipping,Yes,Yes,4,Debit Card,Quarterly,Good
138,68,Male,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.699999809265137,Yes,Cash,Free Shipping,Yes,Yes,38,PayPal,Weekly,Very_Good
139,68,Male,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.400000095367432,Yes,Cash,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly,Good
140,49,Male,Coat,Outerwear,95,Florida,M,White,Fall,3.799999952316284,Yes,Debit Card,Store Pickup,Yes,Yes,30,Venmo,Annually,Good
141,63,Male,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,3.9000000953674316,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly,Good
142,56,Male,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.900000095367432,Yes,PayPal,Free Shipping,Yes,Yes,45,PayPal,Weekly,Very_Good
143,37,Male,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,3.0999999046325684,Yes,PayPal,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly,Bad
144,30,Male,Coat,Outerwear,48,Missouri,M,Beige,Fall,2.700000047683716,Yes,Bank Transfer,Store Pickup,Yes,Yes,25,PayPal,Quarterly,Bad
145,19,Male,Shoes,Footwear,43,New Jersey,M,Silver,Fall,3.200000047683716,Yes,Credit Card,Express,Yes,Yes,25,Cash,Monthly,Good
146,24,Male,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,Yes,Venmo,Standard,Yes,Yes,44,Debit Card,Quarterly,Very_Good
147,52,Male,Skirt,Clothing,30,Colorado,S,Black,Fall,4.0,Yes,Debit Card,Standard,Yes,Yes,21,Venmo,Fortnightly,Good
148,63,Male,Shoes,Footwear,64,Idaho,M,Purple,Summer,3.5,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly,Good
149,37,Male,Gloves,Accessories,90,Wyoming,M,Gray,Fall,2.5999999046325684,Yes,PayPal,Store Pickup,Yes,Yes,47,Debit Card,Annually,Bad
150,38,Male,Pants,Clothing,76,Delaware,M,White,Summer,3.200000047683716,Yes,Venmo,Free Shipping,Yes,Yes,14,PayPal,Monthly,Good
151,35,Male,Boots,Footwear,96,California,L,Cyan,Fall,4.900000095367432,Yes,Bank Transfer,Standard,Yes,Yes,17,Debit Card,Every 3 Months,Very_Good
152,28,Male,Sunglasses,Accessories,47,North Dakota,L,Turquoise,Fall,4.5,Yes,Debit Card,Next Day Air,Yes,Yes,3,Venmo,Annually,Very_Good
153,30,Male,Shirt,Clothing,85,South Carolina,S,Brown,Summer,4.300000190734863,Yes,PayPal,Express,Yes,Yes,42,Venmo,Annually,Good
154,69,Male,Hoodie,Clothing,55,North Carolina,M,Maroon,Winter,3.200000047683716,Yes,Debit Card,Standard,Yes,Yes,22,Debit Card,Annually,Good
155,41,Male,Dress,Clothing,98,Oklahoma,M,Charcoal,Fall,3.5999999046325684,Yes,Debit Card,Next Day Air,Yes,Yes,21,Venmo,Quarterly,Good
156,63,Male,Socks,Clothing,77,Maine,S,Olive,Spring,4.300000190734863,Yes,Cash,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly,Good
157,35,Male,Shorts,Clothing,26,Missouri,M,Lavender,Fall,4.0,Yes,Venmo,Standard,Yes,Yes,40,Debit Card,Annually,Good
158,36,Male,Hat,Accessories,68,Vermont,S,Yellow,Fall,3.0,Yes,Debit Card,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly,Bad
159,25,Male,Shirt,Clothing,73,Connecticut,XL,Teal,Fall,4.099999904632568,Yes,Bank Transfer,Standard,Yes,Yes,50,Bank Transfer,Monthly,Good
160,58,Male,Gloves,Accessories,27,New Hampshire,M,Charcoal,Fall,3.799999952316284,Yes,Debit Card,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months,Good
161,27,Male,Gloves,Accessories,23,Texas,M,Orange,Summer,4.599999904632568,Yes,Bank Transfer,Free Shipping,Yes,Yes,34,Venmo,Monthly,Very_Good
162,65,Male,Backpack,Accessories,49,North Dakota,M,Olive,Fall,3.0,Yes,Venmo,Express,Yes,Yes,29,Venmo,Fortnightly,Bad
163,54,Male,Sunglasses,Accessories,74,California,M,Turquoise,Summer,3.0,Yes,Credit Card,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly,Bad
164,54,Male,Skirt,Clothing,67,Virginia,M,Purple,Summer,3.4000000953674316,Yes,PayPal,Standard,Yes,Yes,8,Debit Card,Weekly,Good
